Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sun May 23 2021 12:46:33 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-01-17,US,293997,251372,39978,18423767,15696558,2381334,801801,993843,177259,null,null,39981,15696558,2382158,177280
Report,2021-01-17,US,null,null,null,null,null,null,null,null,null,856109,853005,null,null,null,null
Admin,2021-01-17,LTC,49130,43226,5655,1819025,1741151,60891,109217,118225,8253,null,null,5655,1741151,60891,8253
Admin,2021-01-18,US,846406,618937,218786,19270173,16315495,2600120,790389,967105,163510,null,null,218817,16315495,2600975,163532
Report,2021-01-18,US,null,null,null,null,null,null,null,null,null,548050,871378,null,null,null,null
Admin,2021-01-18,LTC,170480,129226,40652,1989505,1870377,101543,108944,122091,12436,null,null,40652,1870377,101543,12435
Admin,2021-01-19,US,1303776,947388,338711,20573949,17262883,2938831,799434,980080,168019,null,null,338727,17262883,2939702,168039
Report,2021-01-19,US,null,null,null,null,null,null,null,null,null,621154,886277,null,null,null,null
Admin,2021-01-19,LTC,180365,131948,47715,2169870,2002325,149258,107492,125507,17336,null,null,47715,2002325,149258,17336
Admin,2021-01-20,US,1571483,1145489,405563,22145432,18408372,3344394,820147,1020986,188151,null,null,405589,18408372,3345291,188171
Report,2021-01-20,US,null,null,null,null,null,null,null,null,null,441318,808253,null,null,null,null
Admin,2021-01-20,LTC,191057,146758,43571,2360927,2149083,192829,107994,129956,21303,null,null,43571,2149083,192829,21302
Admin,2021-01-21,US,1585768,1304120,259916,23731200,19712492,3604310,845316,1065237,206684,null,null,259941,19712492,3605232,206705
Report,2021-01-21,US,null,null,null,null,null,null,null,null,null,1021093,797857,null,null,null,null
Admin,2021-01-21,LTC,144291,132712,10998,2505218,2281795,203827,107277,130377,22446,null,null,10998,2281795,203827,22446
Admin,2021-01-22,US,1580483,1361601,199631,25311683,21074093,3803941,883855,1116561,218764,null,null,199647,21074093,3804879,218782
Report,2021-01-22,US,null,null,null,null,null,null,null,null,null,1561585,884336,null,null,null,null
Admin,2021-01-22,LTC,127097,122143,4473,2632315,2403938,208300,108953,132403,22876,null,null,4473,2403938,208300,22876
Admin,2021-01-23,US,885379,729983,143415,26197062,21804076,3947356,908413,1152470,229429,null,null,143424,21804076,3948303,229446
Report,2021-01-23,US,null,null,null,null,null,null,null,null,null,1430031,925620,null,null,null,null
Admin,2021-01-23,LTC,96564,68050,28038,2728879,2471988,236338,110580,136997,25872,null,null,28038,2471988,236338,25871
Admin,2021-01-24,US,383087,294565,83282,26580149,22098641,4030638,914583,1165197,235615,null,null,83288,22098641,4031591,235633
Report,2021-01-24,US,null,null,null,null,null,null,null,null,null,1310665,990557,null,null,null,null
Admin,2021-01-24,LTC,63360,43660,19368,2792239,2515648,255706,110642,139030,27831,null,null,19369,2515648,255707,27830
Admin,2021-01-25,US,1316421,835532,462275,27896570,22934173,4492913,945525,1232342,270399,null,null,462292,22934173,4493883,270415
Report,2021-01-25,US,null,null,null,null,null,null,null,null,null,885588,1038776,null,null,null,null
Admin,2021-01-25,LTC,184844,125942,57833,2977083,2641590,313539,110173,141082,30285,null,null,57833,2641590,313540,30285
Admin,2021-01-26,US,1617022,1037200,556116,29513592,23971373,5049029,958356,1277091,301457,null,null,556138,23971373,5050021,301474
Report,2021-01-26,US,null,null,null,null,null,null,null,null,null,806751,1065290,null,null,null,null
Admin,2021-01-26,LTC,205093,133955,70414,3182176,2775545,383953,110460,144615,33528,null,null,70414,2775545,383954,33528
Admin,2021-01-27,US,1873144,1223707,619284,31386736,25195080,5668313,969530,1320186,331988,null,null,619303,25195080,5669324,332004
Report,2021-01-27,US,null,null,null,null,null,null,null,null,null,1111640,1161050,null,null,null,null
Admin,2021-01-27,LTC,212113,140792,70646,3394289,2916337,454599,109608,147623,37396,null,null,70646,2916337,454600,37395
Admin,2021-01-28,US,1899633,1347320,528701,33286369,26542400,6197014,975701,1365024,370386,null,null,528732,26542400,6198056,370403
Report,2021-01-28,US,null,null,null,null,null,null,null,null,null,1541048,1235330,null,null,null,null
Admin,2021-01-28,LTC,190776,118655,71416,3585065,3034992,526015,107600,154263,46027,null,null,71416,3034992,526016,46027
Admin,2021-01-29,US,1845321,1335301,471749,35131690,27877701,6668763,971944,1402858,409260,null,null,471771,27877701,6669827,409278
Report,2021-01-29,US,null,null,null,null,null,null,null,null,null,1690979,1253815,null,null,null,null
Admin,2021-01-29,LTC,177876,114183,63182,3762941,3149175,589197,106462,161518,54414,null,null,63182,3149175,589198,54414
Admin,2021-01-30,US,996070,751665,230023,36127760,28629366,6898786,975041,1418671,421633,null,null,230025,28629366,6899852,421649
Report,2021-01-30,US,null,null,null,null,null,null,null,null,null,1693241,1291416,null,null,null,null
Admin,2021-01-30,LTC,96435,61035,34971,3859376,3210210,624168,105460,161499,55404,null,null,34971,3210210,624169,55404
Admin,2021-01-31,US,445758,320049,118538,36573518,28949415,7017324,978682,1427624,426669,null,null,118549,28949415,7018401,426687
Report,2021-01-31,US,null,null,null,null,null,null,null,null,null,1545397,1324949,null,null,null,null
Admin,2021-01-31,LTC,67516,42704,24485,3926892,3252914,648653,105324,162093,56135,null,null,24485,3252914,648654,56135
Admin,2021-02-01,US,1277406,723404,530280,37850924,29672819,7547604,962664,1422050,436384,null,null,530446,29672819,7548847,436423
Report,2021-02-01,US,null,null,null,null,null,null,null,null,null,1099103,1355451,null,null,null,null
Admin,2021-02-01,LTC,174356,88380,85064,4101248,3341294,733717,99958,160595,60025,null,null,85064,3341294,733718,60025
Admin,2021-02-02,US,1624631,940753,661224,39475555,30613572,8208828,948886,1423137,451400,null,null,661275,30613572,8210122,451443
Report,2021-02-02,US,null,null,null,null,null,null,null,null,null,558458,1319981,null,null,null,null
Admin,2021-02-02,LTC,188427,96503,90457,4289675,3437797,824174,94607,158214,62889,null,null,90457,3437797,824175,62888
Admin,2021-02-03,US,2074634,1241970,800052,41550189,31855542,9008880,951495,1451921,477224,null,null,800098,31855542,9010220,477270
Report,2021-02-03,US,null,null,null,null,null,null,null,null,null,1097394,1317946,null,null,null,null
Admin,2021-02-03,LTC,199899,101268,96857,4489574,3539065,921031,88961,156469,66633,null,null,96857,3539065,921032,66633
Admin,2021-02-04,US,2262774,1362794,870795,43812963,33218336,9879675,953705,1503799,526094,null,null,870852,33218336,9881072,526145
Report,2021-02-04,US,null,null,null,null,null,null,null,null,null,1325456,1287147,null,null,null,null
Admin,2021-02-04,LTC,203862,99612,103379,4693436,3638677,1024410,86241,158338,71199,null,null,103379,3638677,1024411,71199
Admin,2021-02-05,US,2271331,1332312,913945,46084294,34550648,10793620,953278,1564657,589265,null,null,914002,34550648,10795074,589321
Report,2021-02-05,US,null,null,null,null,null,null,null,null,null,1615502,1276364,null,null,null,null
Admin,2021-02-05,LTC,208601,110407,96628,4902037,3749084,1121038,85701,162728,75977,null,null,96628,3749084,1121039,75977
Admin,2021-02-06,US,1262558,841419,404503,47346852,35392067,11198123,966100,1602727,614191,null,null,404542,35392067,11199616,614252
Report,2021-02-06,US,null,null,null,null,null,null,null,null,null,2218752,1351437,null,null,null,null
Admin,2021-02-06,LTC,111110,60676,49644,5013147,3809760,1170682,85650,164824,78073,null,null,49644,3809760,1170683,78073
Admin,2021-02-07,US,433753,276634,149818,47780605,35668701,11347941,959898,1601012,618660,null,null,149837,35668701,11349453,618721
Report,2021-02-07,US,null,null,null,null,null,null,null,null,null,2172973,1441091,null,null,null,null
Admin,2021-02-07,LTC,65530,30171,34797,5078677,3839931,1205479,83860,164540,79547,null,null,34797,3839931,1205480,79546
Admin,2021-02-08,US,1506100,819439,666945,49286705,36488140,12014886,973617,1633683,638183,null,null,667006,36488140,12016459,638230
Report,2021-02-08,US,null,null,null,null,null,null,null,null,null,1206680,1456459,null,null,null,null
Admin,2021-02-08,LTC,161798,73285,87117,5240475,3913216,1292596,81703,162746,79840,null,null,87117,3913216,1292597,79839
Admin,2021-02-09,US,1891877,1020716,851588,51178582,37508856,12866474,985041,1671861,665378,null,null,851656,37508856,12868115,665427
Report,2021-02-09,US,null,null,null,null,null,null,null,null,null,788573,1489333,null,null,null,null
Admin,2021-02-09,LTC,169385,74811,93142,5409860,3988027,1385738,78604,160026,80223,null,null,93142,3988027,1385739,80223
Admin,2021-02-10,US,2209248,1201573,987031,53387830,38710429,13853505,979270,1691091,692089,null,null,987095,38710429,13855210,692141
Report,2021-02-10,US,null,null,null,null,null,null,null,null,null,1563780,1555959,null,null,null,null
Admin,2021-02-10,LTC,162468,61127,99426,5572328,4049154,1485164,72870,154679,80590,null,null,99426,4049154,1485165,80590
Admin,2021-02-11,US,2313451,1250157,1040220,55701281,39960586,14893725,963179,1698331,716293,null,null,1040297,39960586,14895507,716347
Report,2021-02-11,US,null,null,null,null,null,null,null,null,null,1620300,1598080,null,null,null,null
