Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sun May 23 2021 12:46:33 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-05-16,LTC,38,23,15,7830392,4888997,2876734,961,1497,535,null,null,17,4888997,2886163,680
Admin,2021-05-17,US,1608705,819705,782925,279153272,160145999,116501098,727961,1684224,949366,null,null,868078,160145999,126320970,1023123
Report,2021-05-17,US,null,null,null,null,null,null,null,null,null,1486490,1830360,null,null,null,null
Admin,2021-05-17,LTC,1304,661,637,7831696,4889658,2877371,947,1493,543,null,null,732,4889658,2886895,684
Admin,2021-05-18,US,1812553,912089,894027,280965825,161058088,117395125,771794,1685965,907543,null,null,986633,161058088,127307603,982939
Report,2021-05-18,US,null,null,null,null,null,null,null,null,null,1123306,1771807,null,null,null,null
Admin,2021-05-18,LTC,2625,1546,1076,7834321,4891204,2878447,916,1447,529,null,null,1418,4891204,2888313,686
Admin,2021-05-19,US,1755729,877949,871531,282721554,161936037,118266656,811807,1684623,866415,null,null,956301,161936037,128263904,942356
Report,2021-05-19,US,null,null,null,null,null,null,null,null,null,1754966,1801333,null,null,null,null
Admin,2021-05-19,LTC,2032,1172,859,7836353,4892376,2879306,915,1492,575,null,null,1278,4892376,2889591,768
Admin,2021-05-20,US,1030751,455991,571141,283752305,162392028,118837797,759980,1550829,785090,null,null,623901,162392028,128887805,858069
Report,2021-05-20,US,null,null,null,null,null,null,null,null,null,2107077,1828681,null,null,null,null
Admin,2021-05-20,LTC,1054,700,354,7837407,4893076,2879660,777,1281,503,null,null,585,4893076,2890176,676
Admin,2021-05-21,US,188918,78766,109541,283941223,162470794,118947338,626740,1264089,632749,null,null,118661,162470794,129006466,693661
Report,2021-05-21,US,null,null,null,null,null,null,null,null,null,2198101,1879526,null,null,null,null
Admin,2021-05-21,LTC,1,1,0,7837408,4893077,2879660,597,1025,426,null,null,1,4893077,2890177,582
Admin,2021-05-22,US,0,0,0,283941223,162470794,118947338,509319,1030565,517467,null,null,0,162470794,129006466,569040
Report,2021-05-22,US,null,null,null,null,null,null,null,null,null,2345872,1872697,null,null,null,null
Admin,2021-05-22,LTC,0,0,0,7837408,4893077,2879660,586,1007,420,null,null,0,4893077,2890177,575
